Cliente,FechaAltaCliente,Region,Gerencia,SubCanal,TipoPoblacion,Estrato,EF
1,2009-03-03,4,21,12,1,1,1
9,2009-03-03,4,21,9,2,3,1
15,2009-03-03,4,21,9,2,3,0
37,2009-03-03,4,21,16,2,3,1
43,2009-03-03,4,21,9,2,3,0
70,2009-05-08,4,22,23,1,4,1
71,2009-05-08,4,22,9,1,2,1
75,2009-05-08,4,22,9,2,2,0
88,2009-05-08,4,22,9,2,2,0
90,2009-05-08,4,22,24,2,3,1
91,2009-05-08,4,22,9,2,3,0
94,2009-05-08,4,22,9,2,3,0
101,2009-05-08,4,22,16,2,2,1
115,2009-05-08,4,22,6,2,1,1
117,2009-05-08,4,22,16,1,1,1
124,2009-05-08,4,22,16,1,1,1
129,2009-05-12,4,22,6,1,3,1
162,2009-06-11,4,26,9,2,1,1
166,2009-06-11,4,26,6,2,2,1
179,2009-06-11,4,26,12,2,1,0
187,2009-06-11,4,26,18,1,2,0
190,2009-06-11,4,26,12,1,2,1
200,2009-06-11,4,26,9,1,1,0
201,2009-06-11,4,26,9,1,1,0
204,2009-06-11,4,26,7,2,2,0
209,2009-06-11,4,26,9,1,1,0
215,2009-06-11,4,26,9,1,2,0
219,2009-06-11,4,21,9,1,2,0
223,2009-06-14,4,26,16,2,1,1
238,2009-07-03,4,21,11,2,5,0
239,2009-07-03,4,21,22,2,3,1
244,2009-07-03,4,21,9,2,1,1
263,2009-07-03,4,21,11,2,2,1
264,2009-07-03,4,21,15,2,1,0
269,2009-07-04,4,21,9,2,2,0
273,2009-07-04,4,21,16,2,2,1
277,2009-07-04,4,13,9,1,1,1
280,2009-07-04,4,21,9,1,1,1
285,2009-07-04,4,13,18,2,4,1
292,2009-07-04,4,13,10,2,1,0
294,2009-07-04,4,13,24,2,3,1
299,2009-07-06,4,13,18,2,5,0
301,2009-07-09,4,26,9,2,2,0
305,2009-07-23,4,26,9,2,2,0
309,2009-08-04,3,24,15,2,1,0
316,2009-08-04,3,24,15,2,3,1
317,2009-08-04,3,24,15,2,2,1
323,2009-08-04,3,24,7,2,1,1
324,2009-08-04,3,24,22,2,1,1
325,2009-08-04,3,24,15,2,2,0
329,2009-08-04,3,24,15,2,2,0
338,2009-08-04,3,24,15,1,2,1
339,2009-08-04,3,24,15,1,2,0
347,2009-08-04,3,24,15,1,2,0
361,2009-08-04,3,24,15,1,1,1
370,2009-08-04,3,24,15,1,1,0
378,2009-08-04,3,24,7,1,1,0
379,2009-08-04,3,24,15,1,1,1
381,2009-08-04,3,24,15,1,2,0
386,2009-08-04,3,24,22,1,1,0
387,2009-08-04,3,32,15,1,2,1
396,2009-08-04,3,32,9,2,2,0
401,2009-08-04,3,24,15,2,2,0
418,2009-08-04,3,32,15,1,1,0
420,2009-08-04,3,32,15,1,1,1
421,2009-08-04,3,24,18,2,2,1
429,2009-08-04,3,24,9,2,3,0
434,2009-08-04,3,24,15,1,1,0
447,2009-08-04,3,24,15,2,2,0
453,2009-08-04,3,24,15,2,2,1
461,2009-08-04,3,24,18,2,2,0
467,2009-08-04,3,32,10,1,2,0
470,2009-08-04,3,24,10,1,1,0
483,2009-08-04,3,32,9,2,4,0
486,2009-08-04,3,24,15,2,5,1
491,2009-08-04,3,24,15,1,1,0
506,2009-08-04,3,32,15,1,1,1
508,2009-08-04,3,32,15,1,2,1
514,2009-08-04,3,24,15,2,1,1
517,2009-08-04,3,32,7,2,2,0
543,2009-08-04,3,24,15,1,2,1
544,2009-08-04,4,13,10,1,1,0
553,2009-08-04,3,32,16,1,2,1
576,2009-08-04,3,32,15,1,2,0
578,2009-08-04,3,32,16,1,1,0
