CodigoDC,Cliente,Marca,Cupo
297601,8410,29,9
297601,9337,29,9
309843,7404,40,16
309874,4017,40,16
309910,6316,40,16
309962,7159,40,16
310296,6565,40,16
310526,12127,40,16
310573,6900,40,16
310690,2163,40,16
310695,2218,40,16
310796,7293,40,16
310937,8664,40,16
311170,7189,40,16
311326,907,40,16
311332,5558,40,16
311386,918,40,16
311563,4852,40,16
311595,4732,40,16
311654,6159,40,16
312124,1001,40,16
312304,5216,40,16
314202,5877,40,16
314307,6017,40,16
314424,11473,40,16
314608,9777,40,16
314793,2604,39,20
315393,2140,40,16
315422,6317,40,16
315756,10914,40,16
315836,9072,40,16
316026,319,40,16
316414,8977,40,16
316492,620,40,16
316513,2948,40,16
316591,3079,40,16
316819,8600,40,16
316882,5022,40,16
317591,9366,39,20
317826,2541,39,20
318173,5255,39,20
318357,2817,39,20
318488,3771,40,16
319032,3871,40,16
319280,3793,40,16
319327,3945,40,16
319498,584,40,16
319666,441,40,16
319700,8832,40,16
319773,391,40,16
319889,10521,40,16
319978,3418,40,16
320003,559,40,16
320173,3080,40,16
320329,9105,40,16
320425,6134,40,16
320760,12400,40,16
320874,441,40,16
321143,10928,40,16
321161,5226,40,16
321187,3292,40,16
321215,528,40,16
321310,2181,40,16
321462,2147,40,16
322156,3197,40,16
322244,9326,40,16
322246,3182,40,16
322258,3193,40,16
322593,8117,40,16
322647,1581,40,16
322662,8475,40,16
322761,4875,40,16
322763,7034,40,16
323041,8005,40,16
323521,8358,40,16
323618,3429,40,16
323778,3074,40,16
323885,3058,40,16
323964,6001,40,16
324151,4048,40,16
324260,4609,40,16
324317,4111,40,16
324520,4855,40,16
324624,3206,40,16
325064,1833,40,16
325578,8559,40,16
325596,957,40,16
325624,10291,40,16
325687,12799,40,16
325725,7904,40,16
325736,8168,40,16
325987,5169,40,16
326064,12217,40,16
329350,1945,40,16
329378,1949,40,16
329410,6824,40,16
329656,1884,40,16
329685,1720,40,16
329753,6205,40,16
329991,6328,40,16
330048,8775,40,16
330203,4316,40,16
330240,4296,40,16
330271,7043,40,16
331288,8714,40,16
331404,2078,40,16
331456,1939,40,16
331556,11299,40,16
331657,10482,40,16
331822,4298,40,16
332048,7041,40,16
332339,1604,40,16
332511,9570,39,20
332715,7130,39,20
332827,2451,39,20
332944,2810,39,20
333065,2732,39,20
333081,2734,39,20
333128,2835,40,16
333601,12269,40,16
333760,11151,40,16
333769,4019,40,16
333833,9173,40,16
333961,10160,40,16
333973,11219,40,16
334185,12110,40,16
334287,11044,40,16
334473,8142,40,16
334624,4523,40,16
334978,7708,40,16
335207,5189,40,16
336072,6799,40,16
336199,11551,39,20
336372,5104,39,20
336483,10549,40,16
337027,342,40,16
337296,430,40,16
337350,4772,40,16
337376,8617,40,16
337482,4798,40,16
338508,1681,40,16
339008,11791,40,16
339041,11120,40,16
339288,11424,40,16
339352,9580,40,16
339532,8605,40,16
340132,7388,40,16
340217,10947,40,16
340706,5626,40,16
340827,10619,40,16
341235,6899,40,16
341264,10970,40,16
341316,10271,40,16
341323,7351,40,16
341870,2872,40,16
341972,9295,40,16
342062,11141,40,16
342190,10834,40,16
342281,448,40,16
342320,996,40,16
342388,469,40,16
342436,7692,40,16
342633,476,40,16
342990,337,40,16
343265,10036,40,16
343349,633,40,16
343494,4467,40,16
343580,3571,40,16
344173,524,40,16
344247,8719,40,16
344312,10514,40,16
344693,11426,40,16
344838,10242,40,16
344873,8198,40,16
344876,10442,40,16
345042,860,40,16
345132,6902,40,16
345234,1000,40,16
345267,9753,40,16
345421,11040,40,16
345489,11074,40,16
345719,8567,40,16
345735,10721,40,16
346402,10112,39,20
347235,6750,40,16
347268,5185,40,16
347332,7966,40,16
347371,7915,40,16
347543,1459,40,16
348598,11245,40,16
348898,3795,40,16
348924,6433,40,16
349823,5353,40,16
350422,6635,40,16
350531,8058,40,16
350659,9895,40,16
352144,6554,40,16
352319,7989,39,20
352696,3982,40,16
352831,3930,40,16
352848,3827,40,16
353206,8650,40,16
353240,4560,40,16
354320,5843,40,16
354320,8222,40,16
354320,9053,40,16
354346,361,40,16
354346,2237,40,16
354346,3323,40,16
354346,3655,40,16
354346,3761,40,16
354346,4141,40,16
354346,4176,40,16
354346,6094,40,16
354346,7899,40,16
354346,8720,40,16
354346,9121,40,16
354346,9337,40,16
354346,9352,40,16
354346,9954,40,16
354346,11570,40,16
354346,11601,40,16
354346,12174,40,16
354346,12245,40,16
354347,603,40,16
354347,2149,40,16
354347,2232,40,16
354347,2951,40,16
354347,3487,40,16
354347,3649,40,16
354347,3684,40,16
354347,3784,40,16
354347,4098,40,16
354347,5488,40,16
354347,5564,40,16
354347,5873,40,16
354347,6729,40,16
354347,6874,40,16
354347,7859,40,16
354347,8739,40,16
354347,9323,40,16
354347,9526,40,16
354347,9606,40,16
354347,9647,40,16
354347,9652,40,16
354347,9866,40,16
354347,10424,40,16
354347,12630,40,16
354347,13037,40,16
354348,5516,40,16
354348,6856,40,16
354348,12604,40,16
354349,4067,40,16
354349,5222,40,16
354349,5426,40,16
354349,7419,40,16
354349,10207,40,16
354350,3230,40,16
354351,8001,40,16
354404,3419,29,9
354590,12812,40,16
354593,2975,40,16
354593,3834,40,16
354593,13021,40,16
354635,6564,40,16
354635,11110,40,16
354636,8800,40,16
354717,4397,39,20
354719,3046,40,16
354719,7388,40,16
354719,10462,40,16
354754,12850,40,16
354756,1761,40,16
354756,13259,40,16
354785,5033,40,16
354814,3349,40,16
354885,8896,40,16
354965,3688,40,16
354987,7784,40,16
354991,12770,40,16
355057,2513,39,20
355069,5638,40,16
355071,6334,40,16
355074,3972,40,16
355074,11112,40,16
355075,11939,40,16
355077,6302,40,16
355079,453,40,16
355079,11424,40,16
355079,12327,40,16
355081,4575,40,16
355081,10524,40,16
355082,1900,40,16
355082,2605,39,20
355083,2569,39,20
355083,7808,39,20
355083,11161,39,20
355084,313,40,16
355084,364,40,16
355084,510,40,16
355084,576,40,16
355084,601,40,16
355084,2201,40,16
355084,3496,40,16
355084,3854,40,16
355084,4023,40,16
355084,4121,40,16
355084,5434,40,16
355084,8760,40,16
355084,9564,40,16
355084,11341,40,16
355084,11569,40,16
355084,12688,40,16
355084,13276,40,16
355085,1086,40,16
355085,1956,40,16
355085,2357,39,20
355085,2629,39,20
355085,4980,40,16
355085,5010,39,20
355085,6688,39,20
355085,6721,39,20
355085,6923,39,20
355085,8649,40,16
355085,9085,39,20
355085,9857,40,16
355085,10692,39,20
355085,10926,39,20
